                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.0939,                0.47188,                0.98888,                0.96947,                0.97863,                0.98606,                0.71227,                 1.0684,                0.40775,                0.99037,              0.0077824,              0.0077824,              0.0077824
                     59,                 1.0939,                0.47211,                0.98437,                0.97306,                 0.9778,                0.98684,                0.71444,                 1.0682,                0.40692,                0.99184,              0.0077428,              0.0077428,              0.0077428
                     60,                 1.0859,                0.46792,                0.98394,                0.97524,                0.97724,                0.98751,                0.71369,                 1.0619,                0.40592,                0.98922,              0.0077032,              0.0077032,              0.0077032
                     61,                   1.09,                0.47199,                0.98584,                0.97072,                0.97841,                0.98677,                0.71524,                 1.0627,                0.40569,                0.98923,              0.0076636,              0.0076636,              0.0076636
                     62,                 1.0716,                0.46319,                0.98166,                0.97576,                0.97754,                0.98694,                0.71605,                 1.0652,                0.40314,                 0.9903,               0.007624,               0.007624,               0.007624
                     63,                 1.0924,                0.47057,                0.98342,                0.97289,                0.97976,                0.98645,                 0.7152,                 1.0664,                0.40296,                0.98993,              0.0075844,              0.0075844,              0.0075844
                     64,                 1.0769,                0.46371,                0.98015,                0.97559,                0.97754,                0.98739,                0.71621,                 1.0594,                0.40325,                0.98709,              0.0075448,              0.0075448,              0.0075448
                     65,                 1.0699,                0.46299,                0.97581,                0.97393,                0.97582,                0.98687,                0.71492,                 1.0591,                0.40191,                0.98807,              0.0075052,              0.0075052,              0.0075052
                     66,                 1.0753,                  0.464,                0.98104,                0.97503,                 0.9792,                0.98737,                0.71858,                 1.0533,                0.40001,                0.98681,              0.0074656,              0.0074656,              0.0074656
                     67,                 1.0727,                0.46307,                0.97795,                0.97315,                0.97961,                0.98687,                 0.7176,                 1.0566,                0.40027,                0.98737,               0.007426,               0.007426,               0.007426
                     68,                 1.0661,                0.45732,                0.97487,                0.97252,                0.97969,                0.98612,                0.71963,                 1.0516,                0.39815,                0.98591,              0.0073864,              0.0073864,              0.0073864
                     69,                 1.0615,                 0.4578,                 0.9744,                 0.9738,                 0.9795,                0.98717,                0.72026,                  1.055,                0.39703,                0.98546,              0.0073468,              0.0073468,              0.0073468
                     70,                 1.0611,                0.45743,                0.97492,                0.97662,                 0.9765,                 0.9871,                 0.7221,                 1.0497,                0.39377,                0.98719,              0.0073072,              0.0073072,              0.0073072
                     71,                 1.0592,                0.45691,                0.97603,                0.97284,                0.98015,                0.98733,                0.72232,                 1.0453,                0.39464,                0.98493,              0.0072676,              0.0072676,              0.0072676
                     72,                 1.0686,                0.45907,                0.97349,                0.97315,                 0.9812,                 0.9875,                0.72362,                  1.045,                0.39373,                0.98476,               0.007228,               0.007228,               0.007228
                     73,                 1.0668,                0.45329,                0.97304,                0.97686,                0.97872,                0.98688,                0.72555,                 1.0451,                0.39058,                0.98268,              0.0071884,              0.0071884,              0.0071884
                     74,                 1.0547,                  0.453,                0.97483,                0.97324,                0.97846,                0.98612,                0.72169,                 1.0477,                0.39533,                0.98578,              0.0071488,              0.0071488,              0.0071488
                     75,                 1.0633,                0.45489,                 0.9716,                 0.9719,                0.98028,                0.98633,                0.72391,                 1.0473,                0.39492,                0.98428,              0.0071092,              0.0071092,              0.0071092
                     76,                 1.0527,                 0.4521,                0.97099,                0.97694,                0.97976,                0.98735,                0.72754,                 1.0439,                0.39094,                 0.9849,              0.0070696,              0.0070696,              0.0070696
                     77,                  1.054,                0.45038,                0.97317,                0.97544,                0.98004,                  0.987,                0.72475,                 1.0427,                0.39066,                0.98457,                0.00703,                0.00703,                0.00703
                     78,                 1.0482,                0.44593,                0.96921,                0.97825,                0.98075,                0.98671,                0.72678,                 1.0433,                0.38758,                0.98438,              0.0069904,              0.0069904,              0.0069904
                     79,                 1.0451,                0.44597,                0.97209,                0.97611,                0.98163,                0.98782,                0.72701,                 1.0378,                0.38709,                0.98283,              0.0069508,              0.0069508,              0.0069508
                     80,                 1.0427,                0.44475,                0.96626,                0.97604,                 0.9788,                0.98683,                0.72376,                 1.0442,                0.38762,                0.98375,              0.0069112,              0.0069112,              0.0069112
                     81,                 1.0389,                0.44137,                0.96816,                0.97594,                0.97991,                0.98753,                0.72736,                 1.0434,                 0.3867,                0.98224,              0.0068716,              0.0068716,              0.0068716
                     82,                 1.0328,                0.44375,                0.96773,                0.97516,                0.98276,                0.98717,                0.72884,                 1.0364,                0.38643,                0.98054,               0.006832,               0.006832,               0.006832
                     83,                 1.0336,                 0.4416,                0.96273,                0.97616,                0.98028,                0.98684,                 0.7283,                 1.0333,                0.38473,                 0.9797,              0.0067924,              0.0067924,              0.0067924
                     84,                 1.0334,                0.44316,                0.96434,                0.97741,                0.97741,                0.98702,                0.72915,                 1.0312,                0.38541,                0.98105,              0.0067528,              0.0067528,              0.0067528
                     85,                 1.0262,                0.43932,                0.96146,                0.97541,                0.97909,                0.98662,                0.72852,                 1.0305,                0.38352,                0.97984,              0.0067132,              0.0067132,              0.0067132
                     86,                 1.0293,                0.44048,                0.96378,                0.97525,                0.98263,                0.98707,                0.72877,                 1.0308,                0.38422,                0.97956,              0.0066736,              0.0066736,              0.0066736
